Id,nsfw_score
NYb51Xi8JW0,0.011849798
evZF4grYgDc,0.643969655
O3AqjQd5H0U,0.008275921
QWMx_cZX4mw,0.005629344
xR192ZxG368,0.006730479
L9CLvbh8sus,0.225032911
uH7hDvZrU88,0.083649501
rSSk6vsvlLM,0.008172404
23BMl-MMY4I,0.078535102
mgion9amyTo,0.002260034
9n4YEaE8tDc,0.014679095
Uu_t_Xk00Wo,0.038019639
1dE7FfV2E3k,0.003989327
HeQrF7T8e68,0.009588183
34Hr_H1BaMI,0.000116025
7FjcfaaefVU,0.056346688
dLSl5Ah9sSY,0.002053114
2-Ikf1u2xuc,0.187500492
pkjVDljrO78,0.005622435
Ma4QZzpJLVw,0.000503243
0bqnrfZtLYM,0.010485657
2-P8An7dbwM,0.172135592
biI77PeL8KU,0.031533424
S4edAK21j5M,0.000521843
s_49Hdvj_DM,0.172530413
CmcNEdHWo0E,0.007549567
ZNx04KaGEI0,0.005939013
9JkAkSpakeA,0.00074721
yNW_Eyg0o7k,0.068602785
xFEUB5eoi8I,0.046259113
3XXCiPlTqJ0,0.049789824
kTqGqOEJbpM,0.032338794
FzA_-0pJkQ4,0.002043725
Z_QN58G1VJw,0.002081582
7t-JMEeQ9bw,0.000292276
mRtEI6qDXPU,0.001569448
zTgMV8Z4aPg,0.00476105
oJ4ovWYJpxM,0.004305618
lqyeyW2cxCo,0.08954785
NaRCiLmTcVc,0.008918411
c06H20hYyb8,6.03E-05
4WfjR3HjdhU,0.067461744
