,LikeCount,DislikeCount,ViewCount,CommentCount,ContainsText,nsfw_score,Title-Clickbait,subscriberCount,channelVideoCount,channelViewCount,isSponsored,hasDiscount,is_english,is_Abs,is_Chest,is_Back,is_Legs,is_Arms,PublishedYear,ChannelAge
5273,8,3,6165,0,0,0.0822288170457,0.0362451,18,23,22281,0,0,0,0,0,0,0,0,2013,2007
5274,17,40,6161,75,0,0.0403513647616,0.124338686,255369,61292,522303866,0,0,1,0,0,0,0,0,2014,2006
5275,25,4,6159,6,0,0.350272476673,0.454308569,36,11,47422,0,0,1,0,0,0,0,0,2007,2006
5276,22,13,6157,6,0,0.158556431532,0.91985476,1926,60,1513146,0,0,0,0,0,0,0,0,2009,2008
5277,100,1,6154,2,0,0.0147707723081,0.640486121,16099,86,500657,0,0,1,0,0,0,1,0,2014,2012
5278,11,11,6145,10,0,0.0186054278165,0.292993784,338,417,98645,0,0,1,1,0,0,0,0,2009,2009
5279,37,2,6142,2,0,0.000683212536387,0.392464846,1588,84,599586,0,0,1,0,0,1,1,0,2012,2011
5280,19,0,6139,5,0,0.111464396119,0.210589901,2,5,7895,0,0,0,0,0,0,0,0,2011,2006
5281,7,0,6136,0,0,0.260396212339,0.309220493,1314,133,287121,0,0,1,0,0,0,0,0,2011,2010
5282,19,0,6135,0,0,0.45084297657,0.552493572,17012,138,13987032,0,0,1,0,0,0,0,0,2012,2011
5283,236,11,6134,46,0,0.543371260166,0.760114074,27850,318,1932461,0,0,0,0,0,0,0,1,2013,2009
5284,55,0,6132,5,0,0.0570212267339,0.224605128,14,1,6140,0,0,1,0,0,0,0,0,2013,2013
5285,7,2,6131,0,0,0.00196180446073,0.141555965,3,1,6133,0,0,1,0,0,0,0,0,2008,2006
5286,77,4,6127,15,0,0.176614999771,0.468930304,66360,807,7283728,0,0,1,0,0,0,0,0,2012,2011
5287,10,2,6122,0,0,0.121713429689,0.142433226,63,6,25609,0,0,0,0,0,0,0,0,2009,2009
5288,13,0,6122,1,0,0.0200420878828,0.099983945,2181,285,3442617,0,0,0,0,0,0,0,0,2014,2010
5289,17,0,6120,1,0,0.167990103364,0.326441288,177,15,67933,0,0,1,0,0,0,0,0,2012,2010
5290,74,4,6115,18,0,0.0113290231675,0.957136989,8912,268,1114732,0,0,0,0,0,0,0,0,2013,2013
5291,4,0,6114,0,0,0.347950726748,0.026097782,1472,262,1677621,0,0,1,0,0,0,0,0,2010,2009
5292,49,5,6113,1,0,0.0230291653425,0.921044827,5389,803,4562429,0,0,1,0,0,0,0,0,2013,2006
5293,9,2,6112,0,0,0.0117031866685,0.225287572,10,15,6810,0,0,1,0,0,0,0,0,2011,2011
5294,58,0,6109,7,0,0.886234164238,0.141839504,1234,20,105686,0,0,1,0,0,0,0,0,2014,2013
5295,11,2,6108,1,0,0.161104056807,0.161104056807,600,36,321441,0,0,0,0,0,0,0,0,2008,2008
5296,10,1,6107,1,0,0.0756968781352,0.886702836,25951,658,10160777,0,0,0,0,0,0,0,1,2011,2009
5297,22,2,6105,4,0,0.159909680486,0.61144805,4282,36,1311366,0,0,0,0,0,0,0,0,2010,2009
5298,6,5,6104,4,0,0.00248898030259,0.146365032,0,315,181544,0,0,1,0,0,0,0,0,2010,2008
5299,75,4,6100,21,0,0.0441149435937,0.27526629,48299,679,9190707,0,0,1,0,1,0,0,1,2013,2008
5300,9,0,6100,5,0,0.033843241632,0.425310761,106478,2910,57271152,0,0,1,0,0,0,0,0,2012,2009
5301,13,1,6095,8,0,0.22846031189,0.191929042,0,93,23889,0,0,1,0,0,0,0,0,2009,2006
5302,10,1,6095,0,0,0.05634919554,0.813174963,894,470,303449,0,0,0,0,0,0,0,0,2014,2012
5303,69,3,6095,10,0,0.00506920833141,0.138826028,732,78,515886,0,0,1,0,0,0,0,0,2012,2008
5304,30,0,6089,0,0,0.0074725667946,0.146365032,200,13,44510,0,0,1,0,0,0,0,0,2015,2015
5305,60,1,6084,53,0,0.0270770881325,0.49491632,1079,57,195281,0,0,1,1,1,1,0,1,2010,2008
5306,22,1,6080,2,0,0.0763193592429,0.971022964,1415,187,595636,0,0,0,1,0,0,0,0,2013,2012
5307,17,0,6076,1,0,0.433501988649,0.201779917,19613,3001,17267607,0,0,1,0,0,1,0,0,2013,2006
5308,32,3,6072,2,0,0.169342890382,0.126672074,2,12,12072,0,0,1,0,0,0,0,0,2012,2012
5309,21,0,6066,1,0,0.326198756695,0.695558012,4952,1538,3690693,0,0,0,0,0,0,0,0,2015,2011
5310,13,0,6063,2,0,0.0162647161633,0.337929934,4,3,7864,0,0,1,0,0,0,0,0,2011,2009
5311,4,1,6062,5,0,0.111101850867,0.094796032,222,186,149413,0,0,1,0,1,0,0,0,2011,2006
5312,9,0,6062,2,0,0.214663907886,0.28166458,499,98,432716,0,0,0,0,0,0,1,0,2011,2011
5313,31,0,6060,1,0,0.304878741503,0.407791227,4,1,6065,0,0,1,0,0,0,0,0,2013,2013
5314,55,4,6060,9,0,0.114896669984,0.761789739,14874,523,2399618,0,0,1,0,0,1,0,0,2012,2008
5315,33,0,6059,5,0,0.0746518373489,0.193841502,102,4,451538,0,0,1,0,0,0,0,0,2010,2010
5316,27,1,6054,4,0,0.101488307118,0.912985444,254,26,49776,0,0,0,0,0,0,0,0,2010,2008
5317,6,0,6050,4,0,0.0151823824272,0.15183951,35,4,17970,0,0,1,0,0,0,1,0,2013,2013
5318,35,2,6036,2,0,0.0087783774361,0.520471811,139366,951,27424264,0,0,1,0,0,0,0,0,2014,2012
5319,21,2,6031,2,0,0.135584458709,0.450469941,60,3,14893,0,0,0,0,0,0,0,0,2013,2010
5320,24,0,6029,2,0,0.147482782602,0.281278133,2512,324,2572338,0,0,1,0,0,0,0,0,2011,2006
5321,3,3,6023,0,0,0.0638647601008,0.101436034,6,4,9980,0,0,0,0,0,0,0,0,2010,2010
5322,10,0,6022,22,0,0.0241521652788,0.150734067,5472,86,2562918,0,0,1,0,0,0,1,0,2007,2006
5323,11,4,6020,7,0,0.334597885609,0.146365032,42,4,17917,0,0,0,0,0,0,0,0,2011,2009
5324,7,0,6019,1,0,0.193624094129,0.770102084,46,5,14850,0,0,0,0,0,0,0,0,2012,2012
5325,5,0,6015,1,0,0.00395775586367,0.942799866,1987,161,3457528,0,0,1,0,0,1,0,0,2010,2009
5326,30,0,6013,6,0,0.00438080960885,0.063572317,1039575,8782,427060178,0,0,1,0,0,0,0,0,2008,2006
5327,30,2,6006,6,0,0.059927046299,0.823476017,3387,283,1203417,0,0,1,0,0,0,0,0,2012,2006
5328,17,0,5998,0,0,0.0979564264417,0.986387014,121,11,61851,0,0,0,0,0,0,0,0,2011,2011
5329,23,4,5995,18,0,0.0204032324255,0.550871551,34,20,17256,0,0,1,0,0,0,0,0,2011,2009
5330,36,0,5995,9,0,0.0753713697195,0.925236344,120,10,37798,0,0,0,0,0,0,0,0,2010,2008
5331,42,1,5992,12,0,0.47774285078,0.025490865,561,64,53687,0,0,1,0,0,0,0,0,2014,2011
5332,31,0,5992,1,0,0.0316780693829,0.777741432,109301,782,15758692,0,0,1,0,0,0,0,0,2012,2012
5333,67,0,5991,22,0,0.08286203444,0.043938294,41525,1075,20604043,0,0,1,0,0,0,0,0,2011,2006
5334,23,1,5990,3,0,0.00787692330778,0.879562914,1257,450,1121106,0,0,1,1,0,1,0,0,2012,2006
5335,49,1,5982,7,1,0.0880649313331,0.934694767,4869,55,1096629,0,0,0,0,0,0,1,0,2013,2011
5336,35,15,5976,14,0,0.133968546987,0.783664584,111,5,7405,0,0,0,0,0,0,0,0,2014,2013
5337,15,0,5972,3,0,0.0640172436833,0.051793147,3561,724,3481741,0,0,0,1,0,0,1,1,2011,2007
5338,92,1,5965,4,0,0.726135730743,0.152640581,716,119,218369,0,0,0,0,0,0,0,0,2014,2007
5339,14,0,5962,1,0,0.0247075688094,0.144687906,1494,44,437655,0,0,1,0,0,0,0,0,2014,2012
5340,11,0,5962,0,0,0.040604904294,0.051503606,0,607,1978171,0,0,1,0,0,0,0,0,2014,2009
5341,17,0,5961,3,0,0.210594058037,0.249685422,171797,1021,27777108,0,0,1,0,0,1,0,0,2010,2006
5342,82,6,5961,18,0,0.00181382650044,0.411636084,45,1,5969,0,0,1,0,0,0,0,0,2015,2015
